,ir0_?, ir0_x, ir0_y, ir0_s, ir1_?, ir1_x, ir1_y, ir1_s
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
,1, 728, 640, 0, 1, 336, 632, 0
